Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,3498000,3443000,3461000,3388000,4369000,4756000,4941000,5462000,5808000,6276000,7103000,7788000,8212000,9052000,9480000,9810000,10390000,10932000,11403000
China,CHN,"International tourism, number of departures",ST.INT.DPRT,10473000,12133000,16602000,20222000,28853000,31026000,34524000,40954000,45844000,47656000,57386000,70250000,83182000,98185000,116593000,127860000,135130000,143035000,149720000
India,IND,"International tourism, number of departures",ST.INT.DPRT,4416000,4564000,4940000,5351000,6213000,7185000,8340000,9783000,10868000,11067000,12988000,13994000,14920000,16626000,18330000,20376000,21872000,23943000,26296000
United States,USA,"International tourism, number of departures",ST.INT.DPRT,87973000,84755000,80883000,75880000,79655000,79215000,148511000,140364000,136148000,129954000,121574000,114089000,116329000,118968000,121699000,130364000,141526000,148056000,157873000
